Propriedade / Método	Descrição
abs()	Retornar um DataFrame com o valor absoluto de cada valor
add()	Adiciona os valores de um DataFrame com os valores especificados
add_prefix()	Prefixar todos os rótulos
add_suffix()	Sufixe todos os rótulos
agg()	Aplicar uma função ou nome de função a um dos eixos do DataFrame
aggregate()	Aplicar uma função ou nome de função a um dos eixos do DataFrame
align()	Alinha dois DataFrames com um método de junção especificado
all()	Retorne True se todos os valores no DataFrame forem True, caso contrário, False
any()	Retorna True se algum dos valores no DataFrame for True, caso contrário, False
append()	Anexar novas colunas
applymap()	Execute uma função para cada elemento do DataFrame
apply()	Aplicar uma função a um dos eixos do DataFrame
assign()	Atribuir novas colunas
astype()	Converta o DataFrame em um dtype especificado
at	Obtenha ou defina o valor do item com o rótulo especificado
axes	Retorna os rótulos das linhas e colunas do DataFrame
bfill()	Substitui valores NULL pelo valor da próxima linha
bool()	Retorna o valor booleano do DataFrame
columns	Retorna os rótulos das colunas do DataFrame
combine()	Compare os valores em dois DataFrames e deixe uma função decidir quais valores manter
combine_first()	Compare dois DataFrames, e se o primeiro DataFrame tiver valor NULL, ele será preenchido com o respectivo valor do segundo DataFrame
compare()	Compare dois DataFrames e retorne as diferenças
convert_dtypes()	Converte as colunas do DataFrame em novos dtypes
corr()	Encontre a correlação (relacionamento) entre cada coluna
count()	Retorna o número de células não vazias para cada coluna/linha
cov()	Encontre a covariância das colunas
copy()	Retorna uma cópia do DataFrame
cummax()	Calcule os valores máximos cumulativos do DataFrame
cummin()	Calcule os valores mínimos cumulativos do DataFrame
cumprod()	Calcule o produto cumulativo no DataFrame
cumsum()	Calcule a soma cumulativa no DataFrame
describe()	Retorna um resumo da descrição para cada coluna no DataFrame
diff()	Calcule a diferença entre um valor e o valor da mesma coluna na linha anterior
div()	Divide os valores de um DataFrame com os valores especificados
dot()	Multiplica os valores de um DataFrame por valores de outro objeto semelhante a um array e adiciona o resultado
drop()	Elimina as linhas/colunas especificadas do DataFrame
drop_duplicates()	Elimina valores duplicados do DataFrame
droplevel()	Descarta os índices/colunas especificados
dropna()	Elimina todas as linhas que contêm valores NULL
dtypes	Retorna os dtypes das colunas do DataFrame
duplicated()	Retorna True para linhas duplicadas, caso contrário, False
empty	Retorna True se o DataFrame estiver vazio, caso contrário, False
eq()	Retorna True para valores iguais aos valores especificados, caso contrário, False
equals()	Retorna True se dois DataFrames forem iguais, caso contrário, False
eval	Avaliar uma string especificada
explode()	Converte cada elemento em uma linha
ffill()	Substitui valores NULL pelo valor da linha anterior
fillna()	Substitui valores NULL pelo valor especificado
filter()	Filtre o DataFrame de acordo com o filtro especificado
first()	Retorna as primeiras linhas de uma seleção de data especificada
floordiv()	Divide os valores de um DataFrame com os valores especificados e reduz os valores
ge()	Retorna True para valores maiores ou iguais ao(s) valor(es) especificado(s), caso contrário, False
get()	Retorna o item da chave especificada
groupby()	Agrupa as linhas/colunas em grupos especificados
gt()	Retorna True para valores maiores que os valores especificados, caso contrário, False
head()	Retorna a linha do cabeçalho e as primeiras 10 linhas ou o número especificado de linhas
iat	Obtenha ou defina o valor do item na posição especificada
idxmax()	Retorna o rótulo do valor máximo no eixo especificado
idxmin()	Retorna o rótulo do valor mínimo no eixo especificado
iloc	Obtenha ou defina os valores de um grupo de elementos nas posições especificadas
index	Retorna os rótulos das linhas do DataFrame
infer_objects()	Altere o dtype das colunas no DataFrame
info()	Imprime informações sobre o DataFrame
insert()	Insira uma coluna no DataFrame
interpolate()	Substitui valores que não são numéricos pelo método interpolado
isin()	Retorna True se cada elemento no DataFrame estiver no valor especificado
isna()	Encontra valores que não são numéricos
isnull()	Encontra valores NULL
items()	Iterar sobre as colunas do DataFrame
iteritems()	Iterar sobre as colunas do DataFrame
iterrows()	Iterar sobre as linhas do DataFrame
itertuples()	Iterar sobre as linhas como tuplas nomeadas
join()	Unir colunas de outro DataFrame
last()	Retorna as últimas linhas de uma seleção de data especificada
le()	Retorna True para valores menores ou iguais ao(s) valor(es) especificado(s), caso contrário, False
loc	Obtenha ou defina o valor de um grupo de elementos especificados usando seus rótulos
lt()	Retorna True para valores menores que os valores especificados, caso contrário, False
keys()	Retorna as chaves do eixo de informação
kurtosis()	Retorna a curtose dos valores no eixo especificado
mask()	Substitua todos os valores onde a condição especificada for True
max()	Retorna o máximo dos valores no eixo especificado
mean()	Retorne a média dos valores no eixo especificado
median()	Retorne a mediana dos valores no eixo especificado
melt()	Remodele o DataFrame de uma tabela larga para uma tabela longa
memory_usage()	Retorna o uso de memória de cada coluna
merge()	Mesclar objetos DataFrame
min()	Retorna o mínimo dos valores no eixo especificado
mod()	Módulos (encontre o restante) dos valores de um DataFrame
mode()	Retorna a moda dos valores no eixo especificado
mul()	Multiplica os valores de um DataFrame pelos valores especificados
ndim	Retorna o número de dimensões do DataFrame
ne()	Retorna True para valores que não são iguais aos valores especificados, caso contrário, False
nlargest()	Classifique o DataFrame pelas colunas especificadas, em ordem decrescente, e retorne o número especificado de linhas
notna()	Encontra valores que não são um número
notnull()	Encontra valores que não são NULL
nsmallest()	Classifique o DataFrame pelas colunas especificadas, em ordem crescente, e retorne o número especificado de linhas
nunique()	Retorna o número de valores exclusivos no eixo especificado
pct_change()	Retorna a variação percentual entre o valor anterior e o valor atual
pipe()	Aplicar uma função ao DataFrame
